"sales1_name","chan1_name","dma1_name","dma2_name"
"Total Sales","Display","Medium Stores High Loyalty","ANCHORAGE-AK"
"Total Sales","Display","Medium Stores High Loyalty","AUGUSTA-GA"
"Total Sales","Display","Medium Stores High Loyalty","BAKERSFIELD-CA"
"Total Sales","Display","Medium Stores High Loyalty","BALTIMORE-MD"
"Total Sales","Display","Medium Stores High Loyalty","BILLINGS-MT"
"Total Sales","Display","Medium Stores High Loyalty","BINGHAMTON-NY"
"Total Sales","Display","Medium Stores High Loyalty","BOSTON-MA"
"Total Sales","Display","Medium Stores High Loyalty","BOWLING GREEN-KY"
"Total Sales","Display","Medium Stores High Loyalty","BUFFALO-NY"
"Total Sales","Display","Medium Stores High Loyalty","CEDAR RAPIDS-IA"
"Total Sales","Display","Medium Stores High Loyalty","CHICO/REDDING-CA"
"Total Sales","Display","Medium Stores High Loyalty","CHMPGN/SPRINFD-IL"
"Total Sales","Display","Medium Stores High Loyalty","CINCINNATI-OH"
"Total Sales","Display","Medium Stores High Loyalty","CLEVELAND-OH"
"Total Sales","Display","Medium Stores High Loyalty","COLMBA/JEFFRSON-MO"
"Total Sales","Display","Medium Stores High Loyalty","COLORADO SPRNGS-CO"
"Total Sales","Display","Medium Stores High Loyalty","COLUMBIA-SC"
"Total Sales","Display","Medium Stores High Loyalty","COLUMBUS-OH"
"Total Sales","Display","Medium Stores High Loyalty","CORPUS CHRISTI-TX"
"Total Sales","Display","Medium Stores High Loyalty","DAYTON-OH"
"Total Sales","Display","Medium Stores High Loyalty","DENVER-CO"
"Total Sales","Display","Medium Stores High Loyalty","DETROIT-MI"
"Total Sales","Display","Medium Stores High Loyalty","DULUTH-MN"
"Total Sales","Display","Medium Stores High Loyalty","ERIE-PA"
"Total Sales","Display","Medium Stores High Loyalty","FARGO-ND"
"Total Sales","Display","Medium Stores High Loyalty","FORT WAYNE-IN"
"Total Sales","Display","Medium Stores High Loyalty","GRD JCT/MNTS-CO"
"Total Sales","Display","Medium Stores High Loyalty","GRD RPD KMZ-MI"
"Total Sales","Display","Medium Stores High Loyalty","GREENBAY/APLTN-WI"
"Total Sales","Display","Medium Stores High Loyalty","HBG/LANCAST-PA"
"Total Sales","Display","Medium Stores High Loyalty","INDIANAPOLIS-IN"
"Total Sales","Display","Medium Stores High Loyalty","JACKSONVILLE-FL"
"Total Sales","Display","Medium Stores High Loyalty","JOPLIN/PTSBURG-MO"
"Total Sales","Display","Medium Stores High Loyalty","LA CRSE/EAU CL-WI"
"Total Sales","Display","Medium Stores High Loyalty","LAFAYETTE-IN"
"Total Sales","Display","Medium Stores High Loyalty","LANSING/JACKSON-MI"
"Total Sales","Display","Medium Stores High Loyalty","LINCOLN-NE"
"Total Sales","Display","Medium Stores High Loyalty","LOUISVILLE-KY"
"Total Sales","Display","Medium Stores High Loyalty","LUBBOCK-TX"
"Total Sales","Display","Medium Stores High Loyalty","MADISON-WI"
"Total Sales","Display","Medium Stores High Loyalty","MANKATO-MN"
"Total Sales","Display","Medium Stores High Loyalty","MILWAUKEE-WI"
"Total Sales","Display","Medium Stores High Loyalty","MINNEAPOLIS-MN"
"Total Sales","Display","Medium Stores High Loyalty","MINOT/BISMARCK-ND"
"Total Sales","Display","Medium Stores High Loyalty","NEW HAVEN/HARTD-CT"
"Total Sales","Display","Medium Stores High Loyalty","NORFOLK-VA"
"Total Sales","Display","Medium Stores High Loyalty","PEORIA/BLMNGTN-IL"
"Total Sales","Display","Medium Stores High Loyalty","PHILADELPHIA-PA"
"Total Sales","Display","Medium Stores High Loyalty","PITTSBURGH-PA"
"Total Sales","Display","Medium Stores High Loyalty","PROVIDENCE-RI"
"Total Sales","Display","Medium Stores High Loyalty","RAPID CITY-SD"
"Total Sales","Display","Medium Stores High Loyalty","RENO-NV"
"Total Sales","Display","Medium Stores High Loyalty","RICHMOND-VA"
"Total Sales","Display","Medium Stores High Loyalty","ROCHESTER-MN"
"Total Sales","Display","Medium Stores High Loyalty","ROCKFORD-IL"
"Total Sales","Display","Medium Stores High Loyalty","SANTA BARBARA-CA"
"Total Sales","Display","Medium Stores High Loyalty","SIOUX CITY-IA"
"Total Sales","Display","Medium Stores High Loyalty","SIOUX FALLS-SD"
"Total Sales","Display","Medium Stores High Loyalty","SPRINGFIELD-MO"
"Total Sales","Display","Medium Stores High Loyalty","ST. LOUIS-MO"
"Total Sales","Display","Medium Stores High Loyalty","TOLEDO-OH"
"Total Sales","Display","Medium Stores High Loyalty","TOPEKA-KS"
"Total Sales","Display","Medium Stores High Loyalty","TUCSON-AZ"
"Total Sales","Display","Medium Stores High Loyalty","TULSA-OK"
"Total Sales","Display","Medium Stores High Loyalty","UTICA-NY"
"Total Sales","Display","Medium Stores High Loyalty","WASHINGTON D.C."
"Total Sales","Display","Medium Stores High Loyalty","WATERTOWN-NY"
"Total Sales","Display","Medium Stores High Loyalty","WICHITA-KS"
"Total Sales","Display","Medium Stores High Loyalty","WILMINGTON-NC"
"Total Sales","Display","Medium Stores High Loyalty","YOUNGSTOWN-OH"
"Total Sales","Display","Medium Stores Low Loyalty","AMARILLO-TX"
"Total Sales","Display","Medium Stores Low Loyalty","ATLANTA-GA"
"Total Sales","Display","Medium Stores Low Loyalty","AUSTIN-TX"
"Total Sales","Display","Medium Stores Low Loyalty","BOISE-ID"
"Total Sales","Display","Medium Stores Low Loyalty","CHARLOTTE-NC"
"Total Sales","Display","Medium Stores Low Loyalty","DALLAS-TX"
"Total Sales","Display","Medium Stores Low Loyalty","DES MOINES-IA"
"Total Sales","Display","Medium Stores Low Loyalty","EL PASO-TX"
"Total Sales","Display","Medium Stores Low Loyalty","FAYETTEVL/FT.SM-AR"
"Total Sales","Display","Medium Stores Low Loyalty","FLORNCE/MRTL BE-SC"
"Total Sales","Display","Medium Stores Low Loyalty","FRESNO/VISALIA-CA"
"Total Sales","Display","Medium Stores Low Loyalty","HOUSTON-TX"
"Total Sales","Display","Medium Stores Low Loyalty","IDHO FLS/POCTLO-ID"
"Total Sales","Display","Medium Stores Low Loyalty","KANSAS CT-KS / MO"
"Total Sales","Display","Medium Stores Low Loyalty","LAREDO-TX"
"Total Sales","Display","Medium Stores Low Loyalty","LAS VEGAS-NV"
"Total Sales","Display","Medium Stores Low Loyalty","LEXINGTON-KY"
"Total Sales","Display","Medium Stores Low Loyalty","MCALLEN-TX"
"Total Sales","Display","Medium Stores Low Loyalty","MIAMI/FT. LDRDA-FL"
"Total Sales","Display","Medium Stores Low Loyalty","MIDLAND-TX"
"Total Sales","Display","Medium Stores Low Loyalty","NASHVILLE-TN"
"Total Sales","Display","Medium Stores Low Loyalty","OKLAHOMA CITY-OK"
"Total Sales","Display","Medium Stores Low Loyalty","OMAHA-NE"
"Total Sales","Display","Medium Stores Low Loyalty","ORLNDO/DYTNA/MB-FL"
"Total Sales","Display","Medium Stores Low Loyalty","PALM SPRINGS-CA"
"Total Sales","Display","Medium Stores Low Loyalty","PHOENIX-AZ"
"Total Sales","Display","Medium Stores Low Loyalty","PORTLAND-OR"
"Total Sales","Display","Medium Stores Low Loyalty","RALEIGH-NC"
"Total Sales","Display","Medium Stores Low Loyalty","SACRAMENTO-CA"
"Total Sales","Display","Medium Stores Low Loyalty","SALT LAKE CITY-UT"
"Total Sales","Display","Medium Stores Low Loyalty","SAN ANTONIO-TX"
"Total Sales","Display","Medium Stores Low Loyalty","SAN DIEGO-CA"
"Total Sales","Display","Medium Stores Low Loyalty","SAN FRANCISCO-CA"
"Total Sales","Display","Medium Stores Low Loyalty","SEATTLE-WA"
"Total Sales","Display","Medium Stores Low Loyalty","TMPA/ST.PT/LKLD-FL"
"Total Sales","Display","Medium Stores Low Loyalty","WACO/TMPL/BRYAN-TX"
"Total Sales","Display","Other","FLAGSTAFF-AZ"
"Total Sales","Display","Other","KIRKSVILLE-IA"
"Total Sales","Display","Other","LAWTON-TX"
"Total Sales","Display","Other","SAVANNAH-GA"
"Total Sales","Display","Other","ST. GEORGE-UT"
"Total Sales","Display","Other","TEXARKANA-TX"
"Total Sales","Paid Search","High Stores High Loyalty","CHICAGO-IL"
"Total Sales","Paid Search","High Stores High Loyalty","LOS ANGELES-CA"
"Total Sales","Paid Search","High Stores High Loyalty","TRI-STATE-NY/NJ/CT"
"Total Sales","Paid Search","Low Stores Low Loyalty","ABILENE-TX"
"Total Sales","Paid Search","Low Stores Low Loyalty","ALBANY-GA"
"Total Sales","Paid Search","Low Stores Low Loyalty","BATON ROUGE-LA"
"Total Sales","Paid Search","Low Stores Low Loyalty","BEAUMT/PORT ART-TX"
"Total Sales","Paid Search","Low Stores Low Loyalty","BEND-OR"
"Total Sales","Paid Search","Low Stores Low Loyalty","BILOXI/GULFPORT-MS"
"Total Sales","Paid Search","Low Stores Low Loyalty","BIRMINGHAM-AL"
"Total Sales","Paid Search","Low Stores Low Loyalty","BUTTE/BOZEMAN-MT"
"Total Sales","Paid Search","Low Stores Low Loyalty","CASPER/RIVERTON-WY"
"Total Sales","Paid Search","Low Stores Low Loyalty","CHARLESTON-SC"
"Total Sales","Paid Search","Low Stores Low Loyalty","CHARLOTTESVILLE"
"Total Sales","Paid Search","Low Stores Low Loyalty","CHATTANOOGA-TN"
"Total Sales","Paid Search","Low Stores Low Loyalty","CHEYENNE- WY"
"Total Sales","Paid Search","Low Stores Low Loyalty","COLMBS/TPLO/WPT-MS"
"Total Sales","Paid Search","Low Stores Low Loyalty","COLUMBUS-GA"
"Total Sales","Paid Search","Low Stores Low Loyalty","DOTHAN-AL"
"Total Sales","Paid Search","Low Stores Low Loyalty","EUGENE-OR"
"Total Sales","Paid Search","Low Stores Low Loyalty","EUREKA-CA"
"Total Sales","Paid Search","Low Stores Low Loyalty","GAINESVILLE-FL"
"Total Sales","Paid Search","Low Stores Low Loyalty","GREENVILLE-NC"
"Total Sales","Paid Search","Low Stores Low Loyalty","HATTSBURG/LAURL-MS"
"Total Sales","Paid Search","Low Stores Low Loyalty","JACKSON-MS"
"Total Sales","Paid Search","Low Stores Low Loyalty","JACKSON-TN"
"Total Sales","Paid Search","Low Stores Low Loyalty","JONESBORO-AR"
"Total Sales","Paid Search","Low Stores Low Loyalty","LAFAYETTE-LA"
"Total Sales","Paid Search","Low Stores Low Loyalty","LAKE CHARLES-LA"
"Total Sales","Paid Search","Low Stores Low Loyalty","LITTLE ROCK-AR"
"Total Sales","Paid Search","Low Stores Low Loyalty","MACON-GA"
"Total Sales","Paid Search","Low Stores Low Loyalty","MBLE/PNSCOLA-AL/FL"
"Total Sales","Paid Search","Low Stores Low Loyalty","MEMPHIS-TN"
"Total Sales","Paid Search","Low Stores Low Loyalty","MONROE/EL DORDO-LA"
"Total Sales","Paid Search","Low Stores Low Loyalty","MONTEREY/SALINA-CA"
"Total Sales","Paid Search","Low Stores Low Loyalty","MONTGOMERY-AL"
"Total Sales","Paid Search","Low Stores Low Loyalty","NEW ORLEANS-LA"
"Total Sales","Paid Search","Low Stores Low Loyalty","SHERMAN/ADA-TX"
"Total Sales","Paid Search","Low Stores Low Loyalty","SHREVEPORT-LA"
"Total Sales","Paid Search","Low Stores Low Loyalty","SPOKANE-WA"
"Total Sales","Paid Search","Low Stores Low Loyalty","ST. JOSEPH-MO"
"Total Sales","Paid Search","Low Stores Low Loyalty","TALLHSSE/THMSVL-FL"
"Total Sales","Paid Search","Low Stores Low Loyalty","TYLER/LONGVIEW-TX"
"Total Sales","Paid Search","Low Stores Low Loyalty","VICTORIA-TX"
"Total Sales","Paid Search","Low Stores Low Loyalty","YAKIMA-WA"
"Total Sales","Paid Search","Low Stores Low Loyalty","YUMA-AZ"
"Total Sales","Paid Search","Low Stores Medium Loyalty","ALBANY-NY"
"Total Sales","Paid Search","Low Stores Medium Loyalty","BANGOR-ME"
"Total Sales","Paid Search","Low Stores Medium Loyalty","BLUEFIELD-WV"
"Total Sales","Paid Search","Low Stores Medium Loyalty","BRLGTN-PLATTSBG-VT"
"Total Sales","Paid Search","Low Stores Medium Loyalty","CHRLSTN/HNTNGTN-WV"
"Total Sales","Paid Search","Low Stores Medium Loyalty","CLARKSBURG-WV"
"Total Sales","Paid Search","Low Stores Medium Loyalty","DAVENPORT-IA"
"Total Sales","Paid Search","Low Stores Medium Loyalty","ELMIRA-NY"
"Total Sales","Paid Search","Low Stores Medium Loyalty","EVANSVILLE-IN"
"Total Sales","Paid Search","Low Stores Medium Loyalty","FLNT/SGNW-BYCT-MI"
"Total Sales","Paid Search","Low Stores Medium Loyalty","FORT MYRS/NAPLS-FL"
"Total Sales","Paid Search","Low Stores Medium Loyalty","GREENSBORO-NC"
"Total Sales","Paid Search","Low Stores Medium Loyalty","GREENVILLE-SC"
"Total Sales","Paid Search","Low Stores Medium Loyalty","HARRISONBURG-VA"
"Total Sales","Paid Search","Low Stores Medium Loyalty","HUNTSVILLE-AL"
"Total Sales","Paid Search","Low Stores Medium Loyalty","JOHNSTOWN/ALTNA-PA"
"Total Sales","Paid Search","Low Stores Medium Loyalty","KNOXVILLE-TN"
"Total Sales","Paid Search","Low Stores Medium Loyalty","LIMA-OH"
"Total Sales","Paid Search","Low Stores Medium Loyalty","MARQUETTE-MI"
"Total Sales","Paid Search","Low Stores Medium Loyalty","MDFRD/KLMATH FA-OR"
"Total Sales","Paid Search","Low Stores Medium Loyalty","PADUCAH-KY"
"Total Sales","Paid Search","Low Stores Medium Loyalty","PANAMA CITY-FL"
"Total Sales","Paid Search","Low Stores Medium Loyalty","PARKERSBURG-WV"
"Total Sales","Paid Search","Low Stores Medium Loyalty","PORTLAND-ME"
"Total Sales","Paid Search","Low Stores Medium Loyalty","QUINCY-IL"
"Total Sales","Paid Search","Low Stores Medium Loyalty","ROANOKE/LYCHBRG-VA"
"Total Sales","Paid Search","Low Stores Medium Loyalty","ROCHESTER-NY"
"Total Sales","Paid Search","Low Stores Medium Loyalty","SALISBURY-MD"
"Total Sales","Paid Search","Low Stores Medium Loyalty","SOUTH BEND-IN"
"Total Sales","Paid Search","Low Stores Medium Loyalty","SPRINGFIELD-MA"
"Total Sales","Paid Search","Low Stores Medium Loyalty","SYRACUSE-NY"
"Total Sales","Paid Search","Low Stores Medium Loyalty","TERRE HAUTE-IN"
"Total Sales","Paid Search","Low Stores Medium Loyalty","TRAVERSE CITY-MI"
"Total Sales","Paid Search","Low Stores Medium Loyalty","TRI CITIES-TN"
"Total Sales","Paid Search","Low Stores Medium Loyalty","WAUSAU-WI"
"Total Sales","Paid Search","Low Stores Medium Loyalty","WEST PALM BEACH-FL"
"Total Sales","Paid Search","Low Stores Medium Loyalty","WHEELING-WV"
"Total Sales","Paid Search","Low Stores Medium Loyalty","WILKES-BARRE-PA"
"Total Sales","Paid Search","Low Stores Medium Loyalty","ZANESVILLE-OH"
"Total Sales","Paid Search","Medium Stores High Loyalty","ALBQ/SANTA FE-NM"
"Total Sales","Paid Search","Medium Stores High Loyalty","ANCHORAGE-AK"
"Total Sales","Paid Search","Medium Stores High Loyalty","AUGUSTA-GA"
"Total Sales","Paid Search","Medium Stores High Loyalty","BAKERSFIELD-CA"
"Total Sales","Paid Search","Medium Stores High Loyalty","BALTIMORE-MD"
"Total Sales","Paid Search","Medium Stores High Loyalty","BILLINGS-MT"
"Total Sales","Paid Search","Medium Stores High Loyalty","BINGHAMTON-NY"
"Total Sales","Paid Search","Medium Stores High Loyalty","BOSTON-MA"
"Total Sales","Paid Search","Medium Stores High Loyalty","BOWLING GREEN-KY"
"Total Sales","Paid Search","Medium Stores High Loyalty","BUFFALO-NY"
"Total Sales","Paid Search","Medium Stores High Loyalty","CEDAR RAPIDS-IA"
"Total Sales","Paid Search","Medium Stores High Loyalty","CHICO/REDDING-CA"
"Total Sales","Paid Search","Medium Stores High Loyalty","CHMPGN/SPRINFD-IL"
"Total Sales","Paid Search","Medium Stores High Loyalty","CINCINNATI-OH"
"Total Sales","Paid Search","Medium Stores High Loyalty","CLEVELAND-OH"
"Total Sales","Paid Search","Medium Stores High Loyalty","COLMBA/JEFFRSON-MO"
"Total Sales","Paid Search","Medium Stores High Loyalty","COLORADO SPRNGS-CO"
"Total Sales","Paid Search","Medium Stores High Loyalty","COLUMBIA-SC"
"Total Sales","Paid Search","Medium Stores High Loyalty","COLUMBUS-OH"
"Total Sales","Paid Search","Medium Stores High Loyalty","CORPUS CHRISTI-TX"
"Total Sales","Paid Search","Medium Stores High Loyalty","DAYTON-OH"
"Total Sales","Paid Search","Medium Stores High Loyalty","DENVER-CO"
"Total Sales","Paid Search","Medium Stores High Loyalty","DETROIT-MI"
"Total Sales","Paid Search","Medium Stores High Loyalty","DULUTH-MN"
"Total Sales","Paid Search","Medium Stores High Loyalty","ERIE-PA"
"Total Sales","Paid Search","Medium Stores High Loyalty","FARGO-ND"
"Total Sales","Paid Search","Medium Stores High Loyalty","FORT WAYNE-IN"
"Total Sales","Paid Search","Medium Stores High Loyalty","GRD JCT/MNTS-CO"
"Total Sales","Paid Search","Medium Stores High Loyalty","GRD RPD KMZ-MI"
"Total Sales","Paid Search","Medium Stores High Loyalty","GREENBAY/APLTN-WI"
"Total Sales","Paid Search","Medium Stores High Loyalty","HBG/LANCAST-PA"
"Total Sales","Paid Search","Medium Stores High Loyalty","INDIANAPOLIS-IN"
"Total Sales","Paid Search","Medium Stores High Loyalty","JACKSONVILLE-FL"
"Total Sales","Paid Search","Medium Stores High Loyalty","JOPLIN/PTSBURG-MO"
"Total Sales","Paid Search","Medium Stores High Loyalty","LA CRSE/EAU CL-WI"
"Total Sales","Paid Search","Medium Stores High Loyalty","LAFAYETTE-IN"
"Total Sales","Paid Search","Medium Stores High Loyalty","LANSING/JACKSON-MI"
"Total Sales","Paid Search","Medium Stores High Loyalty","LINCOLN-NE"
"Total Sales","Paid Search","Medium Stores High Loyalty","LOUISVILLE-KY"
"Total Sales","Paid Search","Medium Stores High Loyalty","LUBBOCK-TX"
"Total Sales","Paid Search","Medium Stores High Loyalty","MADISON-WI"
"Total Sales","Paid Search","Medium Stores High Loyalty","MANKATO-MN"
"Total Sales","Paid Search","Medium Stores High Loyalty","MILWAUKEE-WI"
"Total Sales","Paid Search","Medium Stores High Loyalty","MINNEAPOLIS-MN"
"Total Sales","Paid Search","Medium Stores High Loyalty","MINOT/BISMARCK-ND"
"Total Sales","Paid Search","Medium Stores High Loyalty","NEW HAVEN/HARTD-CT"
"Total Sales","Paid Search","Medium Stores High Loyalty","NORFOLK-VA"
"Total Sales","Paid Search","Medium Stores High Loyalty","PEORIA/BLMNGTN-IL"
"Total Sales","Paid Search","Medium Stores High Loyalty","PHILADELPHIA-PA"
"Total Sales","Paid Search","Medium Stores High Loyalty","PITTSBURGH-PA"
"Total Sales","Paid Search","Medium Stores High Loyalty","PROVIDENCE-RI"
"Total Sales","Paid Search","Medium Stores High Loyalty","RAPID CITY-SD"
"Total Sales","Paid Search","Medium Stores High Loyalty","RENO-NV"
"Total Sales","Paid Search","Medium Stores High Loyalty","RICHMOND-VA"
"Total Sales","Paid Search","Medium Stores High Loyalty","ROCHESTER-MN"
"Total Sales","Paid Search","Medium Stores High Loyalty","ROCKFORD-IL"
"Total Sales","Paid Search","Medium Stores High Loyalty","SANTA BARBARA-CA"
"Total Sales","Paid Search","Medium Stores High Loyalty","SIOUX CITY-IA"
"Total Sales","Paid Search","Medium Stores High Loyalty","SIOUX FALLS-SD"
"Total Sales","Paid Search","Medium Stores High Loyalty","SPRINGFIELD-MO"
"Total Sales","Paid Search","Medium Stores High Loyalty","ST. LOUIS-MO"
"Total Sales","Paid Search","Medium Stores High Loyalty","TOLEDO-OH"
"Total Sales","Paid Search","Medium Stores High Loyalty","TOPEKA-KS"
"Total Sales","Paid Search","Medium Stores High Loyalty","TUCSON-AZ"
"Total Sales","Paid Search","Medium Stores High Loyalty","TULSA-OK"
"Total Sales","Paid Search","Medium Stores High Loyalty","UTICA-NY"
"Total Sales","Paid Search","Medium Stores High Loyalty","WASHINGTON D.C."
"Total Sales","Paid Search","Medium Stores High Loyalty","WATERTOWN-NY"
"Total Sales","Paid Search","Medium Stores High Loyalty","WICHITA-KS"
"Total Sales","Paid Search","Medium Stores High Loyalty","WILMINGTON-NC"
"Total Sales","Paid Search","Medium Stores High Loyalty","YOUNGSTOWN-OH"
"Total Sales","Paid Search","Medium Stores Low Loyalty","AMARILLO-TX"
"Total Sales","Paid Search","Medium Stores Low Loyalty","ATLANTA-GA"
"Total Sales","Paid Search","Medium Stores Low Loyalty","AUSTIN-TX"
"Total Sales","Paid Search","Medium Stores Low Loyalty","BOISE-ID"
"Total Sales","Paid Search","Medium Stores Low Loyalty","CHARLOTTE-NC"
"Total Sales","Paid Search","Medium Stores Low Loyalty","DALLAS-TX"
"Total Sales","Paid Search","Medium Stores Low Loyalty","DES MOINES-IA"
"Total Sales","Paid Search","Medium Stores Low Loyalty","EL PASO-TX"
"Total Sales","Paid Search","Medium Stores Low Loyalty","FAYETTEVL/FT.SM-AR"
"Total Sales","Paid Search","Medium Stores Low Loyalty","FLORNCE/MRTL BE-SC"
"Total Sales","Paid Search","Medium Stores Low Loyalty","FRESNO/VISALIA-CA"
"Total Sales","Paid Search","Medium Stores Low Loyalty","HOUSTON-TX"
"Total Sales","Paid Search","Medium Stores Low Loyalty","IDHO FLS/POCTLO-ID"
"Total Sales","Paid Search","Medium Stores Low Loyalty","KANSAS CT-KS / MO"
"Total Sales","Paid Search","Medium Stores Low Loyalty","LAREDO-TX"
